,company
574,3497329
575,4815
576,18892058
577,4815
578,166626
579,13054748
580,14827161
581,73071546
582,34599034
583,1023
584,40528
585,1390295
586,5140685
587,5171876
588,10476053
589,28491
590,1027461
591,307207
592,700369
593,325047
594,5536
595,96622
596,4815
597,31297705
598,4815
599,16166465
600,16164069
601,3279391
602,24896
603,37064
604,4815
605,4815
606,207470
607,1069814
608,15516
609,10815157
610,10815157
611,15516
612,4827017
613,4815
614,17908204
615,330796
616,4815
617,18196973
618,1438423
619,24193357
620,11486158
621,4815
622,478953
623,6470387
624,592565
625,226216
626,166626
627,4815
628,3210691
629,1358598
630,1358598
631,2446860
632,2470193
633,4815
634,37692
635,61598
636,81715715
637,13134
638,281348
639,281348
640,2470193
641,4815
642,70504383
643,81715715
644,74728269
645,134444
646,4815
647,13987570
648,40603
649,8738
650,1050548
651,23213889
652,704791
653,4815
654,33506
655,15095139
656,15095139
657,4815
658,1069814
659,597717
660,441733
661,18196973
662,18196973
663,5140013
664,4815
665,4815
666,4815
667,3295995
668,1569435
669,294635
670,571472
671,1358598
672,1358598
673,1358598
674,7499
675,17918074
676,1523089
677,4815
678,35560426
679,4815
680,4815
681,1503
682,9247504
683,4815
684,4815
685,214442
686,214442
687,24241018
688,353919
689,2593103
690,5050421
691,2515234
692,2144019
693,4815
694,305525
695,4838118
696,40958961
697,4815
698,4815
699,4815
700,4815
701,4815
702,2756754
703,4815
704,4815
705,2449847
706,2449847
707,4025301
708,4815
709,1298429
710,35564691
711,321986
712,2414136
713,2919540
714,4863582
715,16488
716,2613916
717,17947
718,4815
719,4815
720,10328855
721,294635
722,294635
723,294635
724,214442
725,2515234
726,1440159
727,65062193
728,64828031
729,18196973
730,19046824
731,73047665
732,4815
733,166688
734,4815
735,1069814
736,4815
737,3147
738,45118
739,4815
740,4815
741,1330822
742,1330822
743,15087
744,15786
745,3085943
746,26195
747,4815
748,4815
749,4815
750,4815
751,214442
752,51668120
753,42345997
754,42345997
755,166283
756,7357
757,32277
758,50395
759,4815
760,285447
761,125113
762,125113
763,2515234
764,16235259
765,5106
766,214442
767,2415394
768,2181890
769,805339
770,3140397
771,4815
772,4815
773,67355974
774,335332
775,4815
776,5677
777,5677
778,5677
779,4838118
780,4815
781,4815
782,63756
783,978210
784,81715715
785,1594050
786,822997
787,22443496
788,4815
789,166859
790,16488
791,36221
792,36221
793,1043089
794,1043089
795,1021898
796,166626
797,166626
798,3601607
799,27187735
800,64836659
801,4815
802,4815
803,4815
804,11486158
805,18083
806,22931241
807,4815
808,4815
809,4815
810,4815
811,4815
812,17969851
813,285447
814,11550894
815,162761
816,18196973
817,4009
818,4815
819,4815
820,4815
821,4815
822,18196973
823,18196973
824,33548
825,11486158
826,80564
827,1029650
828,506540
829,4815
830,4815
831,23357531
832,81715715
833,335332
834,17908204
835,17908204
836,3076461
837,17992
838,17992
839,1644347
840,4815
841,698163
842,4815
843,1280872
844,4815
845,4815
846,4815
847,4815
848,4815
849,166743
850,10753
851,563099
852,64801885
853,53963
854,729787
855,909530
856,745754
857,335332
858,4838118
859,4838118
860,4815
861,24806
862,86729
863,4371
864,114191
865,2446860
866,4815
867,294635
868,294635
869,26992
870,3497329
871,4815
872,4043
873,4815
874,284361
875,3007
876,4815
877,470425
878,4815
879,4815
880,12627624
881,25498670
882,4815
883,4836709
884,285447
885,67959
886,12571518
887,4815
888,1264275
889,1993108
890,27224878
891,432169
892,18196973
893,909530
894,62688
895,378234
896,378234
897,8583648
898,5083340
899,306114
900,166698
901,10790487
902,10790487
903,2933773
904,18196973
905,3295995
906,3295995
907,166626
908,17973965
909,815371
910,2011563
911,2515234
912,1523089
913,1523089
914,1523089
915,4815
916,2821100
917,2821100
918,4815
919,2600576
920,1611398
921,15095709
922,45118
923,2515234
924,9643770
925,18892058
926,64833818
927,5235106
928,2434667
929,11550894
930,2635120
931,11486158
932,111120
933,4815
934,3027455
935,2470193
936,2470193
937,4815
938,596185
939,596185
940,1204299
941,3037049
942,4815
943,4815
944,17908204
945,111120
946,2446860
947,18472854
948,1884851
949,271455
950,271455
951,554182
952,123357
953,2436931
954,20923
955,27057748
956,52827
957,18196973
958,18196973
959,18196973
960,10458700
961,166704
962,30347
963,30347
964,4815
965,4815
966,164665
967,164665
968,24392921
969,343905
970,18301340
971,1265908
972,1265908
973,346680
974,18196973
975,1120810
976,7962646
977,1069814
978,4009
979,613998
980,40719957
981,2663015
982,16488
983,402261
984,3092415
985,4815
986,18892058
987,4815
988,164365
989,7962646
990,7962646
991,72327
992,4371
993,36405
994,2489648
995,2090
996,5044484
997,79692461
998,214442
999,214442
1000,233636
1001,17899725
1002,1883983
1003,125113
1004,17908204
1005,14692
1006,163438
1007,163438
1008,2470193
1009,2470193
1010,832837
1011,214442
1012,10458700
1013,4815
1014,22683679
1015,22683679
1016,15102288
