"employee_id","promote_level_1","promote_level_2","time_work","promote_general","intern","num_job","num_company"
"t_186",0,0,730,0,1,1,1
"t_187",0,0,1325,0,0,4,4
"t_188",0,1,303,1,0,1,1
"t_189",0,0,351,0,1,2,2
"t_190",0,1,1781,1,0,3,3
"t_192",0,0,2496,0,0,3,2
"t_193",0,0,1096,0,1,3,2
"t_194",0,0,184,0,0,1,1
"t_195",0,0,2481,0,0,5,3
"t_196",0,0,1659,0,1,3,3
"t_197",0,0,182,0,0,1,1
"t_198",0,1,4156,1,0,2,2
"t_199",0,0,853,0,0,2,2
"t_200",0,0,1993,0,0,5,5
"t_201",0,0,730,0,0,1,1
"t_203",0,0,1751,0,0,2,2
"t_205",1,1,1553,1,0,2,2
"t_206",0,0,1294,0,1,2,1
"t_207",1,0,1416,1,0,2,2
"t_208",0,0,610,0,0,1,1
"t_210",0,0,838,0,0,5,3
"t_212",0,0,153,0,0,1,1
"t_213",0,0,1234,0,0,2,1
"t_214",0,0,3304,0,0,3,3
"t_215",0,0,838,0,0,1,1
"t_216",0,0,594,0,0,1,1
"t_217",1,0,2024,1,0,3,2
"t_218",0,0,2372,0,0,4,2
"t_219",1,0,1979,1,0,4,2
"t_220",0,0,624,0,1,1,1
"t_221",0,0,2634,0,0,3,3
"t_224",0,0,989,0,0,2,1
"t_225",0,0,2786,0,0,4,4
"t_226",0,0,365,0,0,1,1
"t_228",0,1,443,1,0,1,1
"t_229",0,0,1081,0,0,2,2
"t_230",0,0,519,0,0,2,2
"t_231",0,0,2116,0,0,2,1
"t_232",0,0,123,0,0,1,1
"t_233",1,0,1355,1,0,5,5
"t_234",0,0,275,0,0,1,1
"t_235",0,0,2116,0,0,3,3
"t_236",0,0,1478,0,0,3,3
"t_237",0,0,0,0,0,1,1
"t_238",0,0,2496,0,0,3,2
"t_239",0,0,1050,0,0,3,3
"t_241",1,0,2710,1,0,2,1
"t_242",0,0,1050,0,0,2,2
"t_243",0,0,290,0,1,1,1
"t_245",0,0,4125,0,0,3,2
"t_246",1,0,1843,1,0,3,3
"t_247",1,0,3061,1,0,2,2
"t_248",0,0,320,0,0,1,1
"t_249",0,1,NA,1,0,3,3
"t_250",1,0,1126,1,0,3,3
"t_252",0,0,334,0,0,1,1
"t_253",0,0,989,0,1,1,1
"t_255",0,0,2481,0,1,3,3
"t_256",0,1,869,1,0,2,2
"t_257",0,0,624,0,0,1,1
"t_258",0,0,62,0,0,1,1
"t_259",1,0,1279,1,0,4,2
"t_260",1,0,1203,1,0,3,1
"t_261",0,0,1569,0,0,4,4
"t_262",0,0,1173,0,1,1,1
"t_264",0,0,242,0,0,1,1
"t_265",0,0,365,0,1,1,1
"t_266",1,0,473,1,0,1,1
"t_267",0,0,928,0,0,1,1
"t_269",0,0,2511,0,0,4,2
"t_271",0,0,1904,0,0,3,2
"t_272",0,0,685,0,0,1,1
"t_274",0,0,1416,0,1,1,1
"t_275",0,0,2024,0,0,1,1
"t_276",0,1,7837,1,0,2,2
"t_278",1,0,2481,1,0,1,1
"t_279",0,0,1843,0,1,2,2
"t_280",0,0,2847,0,0,3,3
"t_281",0,0,139,0,0,1,1
"t_282",0,0,853,0,0,1,1
"t_283",0,0,1461,0,0,2,2
"t_285",0,0,61,0,0,1,1
"t_286",0,1,2450,1,0,5,5
"t_287",0,0,2146,0,0,3,1
"t_289",0,0,532,0,0,1,1
"t_290",1,0,1294,1,0,2,2
"t_291",0,0,3426,0,1,2,2
"t_292",1,0,3334,1,0,5,5
"t_294",0,0,10121,0,0,2,2
"t_296",0,0,382,0,1,2,2
"t_298",0,0,761,0,0,2,2
"t_299",0,0,139,0,1,1,1
"t_300",0,0,1781,0,0,2,2
"t_301",0,0,2755,0,0,1,1
"t_304",0,0,1416,0,1,4,2
"t_305",0,0,2238,0,1,1,1
"t_306",0,0,563,0,0,1,1
"t_308",0,0,2511,0,0,4,2
"t_309",0,0,639,0,1,1,1
"t_310",0,0,928,0,0,1,1
"t_311",0,1,4156,1,0,3,3
"t_312",0,0,1781,0,0,3,3
"t_313",1,1,1965,1,0,5,1
"t_316",0,0,2024,0,0,2,1
"t_319",0,0,1720,0,0,3,2
"t_320",0,0,5052,0,0,2,2
"t_321",1,1,1690,1,0,4,4
"t_322",0,0,6894,0,0,2,2
"t_325",0,0,1081,0,0,2,2
"t_326",0,0,2375,0,0,1,1
"t_328",0,0,1112,0,0,3,2
"t_329",0,0,655,0,0,1,1
"t_330",1,0,1904,1,0,3,3
"t_332",1,0,473,1,0,1,1
"t_333",0,1,2269,1,0,4,1
"t_334",1,1,897,1,0,3,2
"t_336",0,0,747,0,0,3,2
"t_337",0,0,1843,0,0,4,4
"t_338",0,0,1203,0,0,3,3
"t_340",0,0,5221,0,0,4,4
"t_341",1,0,412,1,0,1,1
"t_342",0,0,62,0,0,1,1
"t_343",0,0,NA,0,0,1,1
"t_344",1,0,2877,1,0,5,2
"t_345",0,0,4550,0,0,5,3
"t_346",0,0,2481,0,0,3,2
"t_347",0,1,7078,1,0,3,2
"t_348",0,1,1416,1,0,3,3
"t_349",0,0,3273,0,1,2,2
"t_350",1,0,2969,1,0,3,3
"t_351",0,0,685,0,1,1,1
"t_352",0,1,1798,1,0,2,2
"t_353",1,0,1781,1,0,5,3
"t_354",0,0,2330,0,0,5,5
"t_355",0,0,928,0,0,1,1
"t_356",0,1,808,1,0,3,3
"t_357",0,0,624,0,1,2,2
"t_358",0,0,1173,0,0,1,1
"t_359",0,0,320,0,0,1,1
"t_360",0,0,320,0,0,1,1
"t_361",0,0,NA,0,0,2,2
"t_362",1,0,655,1,0,2,1
"t_363",0,1,6833,1,0,4,4
"t_364",0,0,2041,0,0,4,1
"t_366",0,0,821,0,0,3,3
"t_367",0,0,365,0,0,2,2
"t_368",0,0,1020,0,0,2,2
"t_369",0,0,3395,0,0,3,2
"t_370",0,0,1600,0,0,2,2
"t_371",0,0,334,0,0,1,1
"t_372",0,0,1447,0,0,2,1
"t_373",0,0,1447,0,0,3,3
"t_374",0,1,1979,1,0,4,2
"t_375",0,0,2603,0,0,4,3
"t_376",0,0,716,0,0,2,2
"t_377",0,0,2146,0,0,1,1
"t_378",0,0,1142,0,0,2,2
"t_379",0,0,382,0,1,1,1
"t_380",0,0,928,0,0,2,1
"t_381",0,0,532,0,0,2,2
"t_382",0,0,747,0,0,2,2
"t_383",0,0,1993,0,0,2,2
"t_384",1,1,3607,1,0,5,4
"t_385",0,0,2177,0,0,3,3
"t_386",0,0,3273,0,0,3,3
"t_387",0,0,1600,0,0,5,4
"t_388",0,0,1843,0,0,5,3
"t_389",0,0,1965,0,0,2,2
"t_390",0,0,1081,0,1,2,2
"t_391",0,0,1569,0,0,1,1
"t_392",0,0,290,0,0,1,1
"t_393",0,0,487,0,0,1,1
"t_394",0,0,2146,0,0,3,2
"t_395",0,0,2177,0,0,3,3
"t_396",0,0,504,0,0,4,4
"t_397",0,1,685,1,0,4,4
"t_398",0,0,320,0,0,1,1
"t_399",1,1,1843,1,0,4,2
"t_401",0,0,2055,0,0,2,2
"t_402",0,0,777,0,0,1,1
"t_403",0,0,1873,0,0,4,4
"t_404",0,0,747,0,0,2,2
"t_405",0,0,334,0,0,4,3
"t_406",1,0,473,1,0,3,1
"t_407",0,0,808,0,0,1,1
"t_409",0,0,1628,0,0,1,1
"t_410",0,0,897,0,1,2,2
"t_411",0,0,198,0,0,1,1
"t_412",0,0,563,0,0,1,1
"t_413",1,0,563,1,0,1,1
"t_414",0,0,259,0,1,1,1
"t_415",0,0,8844,0,0,1,1
"t_416",0,0,1569,0,0,4,4
"t_417",1,0,2146,1,0,2,1
"t_418",0,0,412,0,0,1,1
"t_419",1,0,1857,1,0,3,1
"t_420",0,1,777,1,0,3,2
"t_421",0,0,139,0,0,1,1
"t_422",1,0,1583,1,0,3,3
"t_423",0,0,1447,0,0,2,1
"t_424",0,0,1781,0,0,3,2
"t_425",1,0,2146,1,0,3,1
"t_426",0,0,1095,0,0,2,2
"t_427",0,0,716,0,1,3,3
"t_428",0,0,1539,0,0,2,1
"t_429",0,0,1234,0,0,1,1
"t_430",0,0,NA,0,0,1,1
"t_431",0,0,1553,0,0,2,2
"t_432",0,0,198,0,0,1,1
"t_433",0,0,395,0,0,1,1
"t_434",0,0,2542,0,0,2,1
"t_435",0,0,685,0,0,2,2
"t_436",0,0,2877,0,0,2,2
"t_438",0,0,1659,0,0,4,4
"t_439",0,0,320,0,0,1,1
"t_440",0,0,1478,0,0,1,1
"t_441",0,0,108,0,0,1,1
"t_443",0,0,2146,0,0,3,2
"t_444",0,1,989,1,0,2,2
"t_446",0,0,1050,0,0,4,3
"t_447",0,0,1508,0,0,1,1
"t_448",0,0,1812,0,0,2,2
"t_449",0,0,2299,0,0,3,3
"t_450",0,0,2877,0,0,2,2
"t_452",0,0,3030,0,0,3,3
"t_453",0,0,2511,0,0,1,1
"t_454",0,0,396,0,0,1,1
"t_455",0,0,563,0,0,1,1
"t_456",0,0,2299,0,0,2,2
"t_457",1,0,3181,1,0,3,2
"t_458",0,0,2238,0,0,3,2
"t_459",0,0,290,0,1,1,1
"t_460",0,0,532,0,0,1,1
"t_461",0,0,1386,0,0,2,2
"t_462",1,0,1294,1,0,1,1
"t_463",0,0,320,0,0,1,1
"t_464",0,0,3638,0,0,3,3
